,Formula,SGnumber,Magmom,Magnetic
448,Sn2C2H6O6P2,7,0.000,False
449,Ti3B2F2S2,187,0.000,False
450,Zr3C2H2O2,187,0.000,False
451,Hf3N2O2,187,0.000,False
452,Sc4C3H2O2,164,0.000,False
453,Zr3N2,187,1.752,True
454,Zr4C3F2,164,0.000,False
455,Cu2Br2,164,0.000,False
456,K2Br2,129,0.000,False
457,C2F2,164,0.000,False
458,In2Te2,164,0.000,False
459,Co2S2,129,0.960,True
460,Cu2S2,10,0.000,False
461,Ni2O2,10,0.833,True
462,Fe2O2,187,0.000,False
463,GaN,187,0.000,False
464,Hf2I2,164,0.000,False
465,Ni2Te2,123,1.034,True
466,Pd2Se2,164,0.000,False
467,V2S2,164,0.000,False
468,Tl2Se2,164,0.000,False
469,Zn2Se2,164,0.000,False
470,BaI2,164,0.000,False
471,CaI2,187,0.000,False
472,CdI2,115,0.000,False
473,FeBr2,164,0.000,False
474,FeS2,115,0.000,False
475,HfBr2,187,0.000,False
476,HfO2,164,0.000,False
477,MnSe2,164,2.827,True
478,Al2Te2,187,0.000,False
479,NbTe2,164,0.000,False
480,PdSe2,187,0.000,False
481,PtSe2,164,0.000,False
482,Re4S8,2,0.000,False
483,RhO2,115,0.000,False
484,Ru2O4,11,0.000,False
485,ScBr2,187,0.985,True
486,SrI2,164,0.000,False
487,Ti2Cl4,11,0.000,False
488,TiS2,115,0.000,False
489,Ti2CSe2,164,0.000,False
490,ZnBr2,164,0.000,False
491,ZrI2,187,0.000,False
492,ZrTe2,164,0.000,False
493,Zr2BO2,164,0.000,False
494,Mn2CF2,164,5.955,True
495,Nb2CS2,164,0.000,False
496,Sc2NO2,164,0.000,False
497,Zr2NSe2,164,0.000,False
498,Bi2SSe2,164,0.000,False
499,Bi2Se2Te,164,0.000,False
500,Au2ReF6,1,1.000,True
501,Bi2Br6,162,0.000,False
502,Co2Cl6,162,0.000,False
503,Mo2Cl6,189,0.000,False
504,Nb2I6,189,0.000,False
505,Ru2Cl6,162,1.999,True
506,Sc2Cl6,162,0.000,False
507,Ta2Te6,59,0.000,False
508,Zr2S6,59,0.000,False
509,Cr3MoS8,25,0.000,False
510,Mo3WS8,25,0.000,False
511,Al2Cl2Se2,59,0.000,False
512,AsClSe,156,0.000,False
513,BiClSe,156,0.000,False
514,BiISe,156,0.000,False
515,BiZrSb,156,0.000,False
516,VBrCl,156,3.000,True
517,Cu2Br2O2,59,0.000,False
518,Hf2Br2N2,59,0.000,False
519,Ir2Br2O2,59,0.000,False
520,Ni2Br2Se2,59,0.000,False
521,Ti4Br4Se4,31,3.866,True
522,Cr2Cl2S2,59,6.000,True
523,In2Cl2Se2,59,0.000,False
524,Tl2Cl2O2,59,0.000,False
525,Sc2Cl2Se2,59,0.000,False
526,Co2Na2P2,129,0.000,False
527,Ga2I2S2,59,0.000,False
528,Hf4I4S4,7,2.455,True
529,In2I2S2,59,0.000,False
530,Ni2I2S2,59,0.000,False
531,Zr2I2O2,59,0.000,False
532,ISSb,156,0.000,False
533,Sn2I2Se2,59,0.000,False
534,MoOTe,156,0.000,False
535,WOS,156,0.000,False
536,TiSTe,156,0.000,False
537,Ni2F2O4,11,0.000,False
538,Ru2P2Te6,162,0.000,False
539,Au2S2,10,0.000,False
540,Cr2W2S8,25,0.000,False
541,HfNiI6,149,2.000,True
542,Al8Te12,14,0.000,False
543,Ga2Se2,187,0.000,False
544,Nb3I7Te,156,0.000,False
545,Nb3Br8,156,0.959,True
546,AgNi2O4,187,0.000,False
547,Ca4O12Te4,14,0.000,False
548,CrHO2,156,2.985,True
549,Cu4Cl4O4,14,0.000,False
550,Ga2Mn2S5,164,9.424,True
551,Ir2Ta2Te8,11,0.000,False
552,MnF12Sb2,2,5.000,True
553,Ni8As4Si4,29,0.000,False
554,NiRe2O8,147,2.000,True
555,Pd2O6Se2,12,0.000,False
556,Re6Cl2Se8,2,0.000,False
557,Sr2Br2H2,129,0.000,False
558,V2Cl2O2,59,4.000,True
559,Zn2As4O8,4,0.000,False
560,Ag2Br2,129,0.000,False
561,AgInP2S6,149,0.000,False
562,Mn2Br2S4Sb2,10,9.975,True
563,Zr3C2F2S2,187,0.000,False
564,Ti3C2H2S2,187,0.000,False
565,W3H2N2O2,187,0.000,False
566,Ti3C2F2,187,0.000,False
567,Y3C2O2,187,0.000,False
568,Cr4F2N3,164,0.422,True
569,Nb4C3O2,164,0.000,False
570,Ti4N3O2,164,0.000,False
571,Y4C3,164,0.000,False
572,Cu2Br2,129,0.000,False
573,Rb2Br2,129,0.000,False
574,Cd2S2,164,0.000,False
575,Cu2Se2,10,0.000,False
576,Ti2F2,164,0.000,False
577,Ga2O2,187,0.000,False
578,Hf2O2,10,0.000,False
579,Nb2S2,164,0.000,False
580,Ni2O2,123,2.275,True
581,Ti2O2,10,0.954,True
582,Pt2Te2,164,0.000,False
583,Rh2Te2,164,0.000,False
584,Tl2Se2,187,0.000,False
585,Ti2Te2,164,2.115,True
586,CrS2,187,0.000,False
587,CuBr2,115,0.000,False
588,FeBr2,115,4.000,True
589,MoS2,187,0.000,False
590,Hf2N,164,0.000,False
591,NiO2,164,0.000,False
592,PbBr2,164,0.000,False
593,PbS2,187,0.000,False
594,Pt2Te4,14,0.000,False
595,S2Sb,164,0.000,False
596,ScS2,164,0.000,False
597,SnSe2,115,0.000,False
598,Ta2I4,11,0.000,False
599,ZnCl2,115,0.000,False
600,Bi2Zr,187,0.000,False
601,V2O4,11,2.000,True
602,ZrTe2,187,0.000,False
603,Ta2BS2,164,0.000,False
604,Nb2CSe2,164,0.000,False
605,V2CSe2,164,0.000,False
606,Sc2F2N,164,0.000,False
607,Bi2STe2,164,0.000,False
608,Hf2CH2O2,164,0.000,False
609,Ti2H2NO2,164,0.000,False
610,Al2I6,162,0.000,False
611,Co2I6,162,0.000,False
612,Ir2Br6,162,0.000,False
613,Mo2I6,162,6.000,True
614,Sc2I6,162,0.000,False
615,Ti2Br6,189,2.000,True
616,V2Br6,162,4.000,True
617,Zr2Se6,59,0.000,False
618,Cr3MoSe8,25,0.000,False
619,Mo3WSe8,25,0.000,False
620,AsITe,156,0.000,False
621,BiClSe,156,0.000,False
622,K2I2,129,0.000,False
623,BiITe,156,0.000,False
624,BiZrSb,156,0.000,False
625,Cu2Br2S2,59,1.068,True
626,Ir2Br2S2,59,0.000,False
627,Os2Br2S2,59,0.000,False
628,Cr2Cl2Se2,59,6.001,True
629,HfClI,156,0.000,False
630,Co2Na2Sb2,129,1.177,True
631,Li2F2S2,1,0.000,False
632,Hf2I2Se2,59,0.000,False
633,In2I2Se2,59,0.000,False
634,Ni2I2Se2,59,0.000,False
635,Sc2I2S2,59,0.000,False
636,WOSe,156,0.000,False
637,TiSTe,156,0.000,False
638,ZrSeTe,156,0.000,False
639,Au2I2Te4,4,0.000,False
640,Ni2F2S4,11,0.000,False
641,Bi2P2S6,1,0.000,False
642,Fe2P2Te6,162,0.000,False
643,Cr2W2Se8,25,0.000,False
644,MnZrBr6,149,5.000,True
645,Ba2N,164,0.000,False
646,Nb3I8,156,0.935,True
647,Ga2NiS4,164,1.973,True
648,Sc2C,164,0.000,False
649,As4O12S2,18,0.000,False
650,Cu4O12Te2,14,0.000,False
651,Hg3B2O6,189,0.000,False
652,Li4O8Sb4,29,0.000,False
653,MnRe2O8,147,5.000,True
654,Na2Nb2Cl12,4,0.000,False
655,Nb2Br4O2,25,0.000,False
656,O14S2Te4,31,0.000,False
657,Pd4Tl2Se6,164,0.000,False
658,Rh2Cl2Te2,11,0.000,False
659,Sr2F2I2,129,0.000,False
660,AgInP2Se6,149,0.000,False
661,K2C2H2O6,4,0.000,False
662,Mn2Br2Sb2Se4,26,9.983,True
663,Zn2H4O8Se2,7,0.000,False
664,Cu2Br2C4H4N2,2,0.000,False
665,Y3H2N2O2,187,0.000,False
666,Zr3C2O2,187,0.000,False
667,Ti4C3H2O2,164,0.000,False
668,Y4H2N3O2,164,0.000,False
669,Y3C2,187,0.000,False
