ACSF_1,ACSF_2,ACSF_3,ACSF_4,ACSF_5,ACSF_6,ACSF_7,ACSF_8,ACSF_9,ACSF_10,ACSF_11,ACSF_12,ACSF_13,ACSF_14,ACSF_15,ACSF_16,ACSF_17,ACSF_18,ACSF_19,ACSF_20
3.04,0.148,1.569,2.285,0.669,0.0,0.018,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.391,0.715,2.678,1.827,0.816,0.029,0.413,0.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.166,0.257,1.963,2.136,0.73,0.002,0.083,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.693,0.0,0.034,0.402,3.059,0.145,1.559,2.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.627,0.0,0.005,0.154,2.994,0.137,1.518,2.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.3,0.898,0.364,1.581,0.147,0.83,1.044,0.827,0.041,0.485,0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.895,0.267,0.886,0.398,1.625,0.26,0.966,0.995,0.808,0.023,0.365,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.898,0.4,3.183,3.664,0.717,0.001,0.06,0.516,0.712,0.001,0.054,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.973,0.097,1.514,3.19,0.622,0.0,0.005,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.425,0.508,2.985,2.386,0.698,0.0,0.038,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.008,0.191,4.068,0.138,1.788,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.336,0.301,2.487,2.832,0.698,0.0,0.039,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.085,0.455,3.742,4.167,0.654,0.0,0.012,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.008,0.191,4.815,0.115,2.019,4.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.816,0.725,1.811,0.615,1.254,0.0,0.034,0.442,0.807,0.022,0.363,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.682,0.0,0.026,0.353,1.699,0.161,1.274,1.37,1.396,0.081,0.639,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.517,0.369,0.91,0.41,0.792,0.014,0.283,0.792,1.524,0.118,0.743,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.359,0.0,0.048,0.682,0.705,0.001,0.045,0.458,5.026,0.342,3.339,4.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.232,0.281,2.421,2.849,0.68,0.0,0.024,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.565,0.308,1.564,1.191,0.908,0.0,0.003,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.231,0.072,0.908,1.631,3.219,0.002,0.156,1.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.858,0.985,3.45,2.171,3.102,0.032,0.846,3.036,0.753,0.004,0.135,0.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.195,1.144,3.757,2.782,0.111,0.0,0.0,0.0,2.531,0.055,0.8,1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.854,0.0,0.028,0.371,0.711,0.001,0.052,0.487,4.323,0.238,2.269,2.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.52,0.203,2.424,4.928,2.806,0.387,0.994,1.009,2.302,0.036,0.459,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.362,0.088,1.869,5.875,5.523,1.388,3.622,1.522,0.391,0.0,0.0,0.0,2.672,0.059,0.833,1.612,0.0,0.0,0.0,0.0
1.727,0.001,0.05,0.477,1.68,0.044,0.496,0.765,0.636,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.834,0.051,0.533,0.748,1.506,0.352,0.909,0.409,1.243,0.001,0.08,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.848,0.021,0.512,2.094,0.168,0.0,0.0,0.0,1.289,0.048,0.517,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.344,0.301,1.008,1.009,6.249,0.01,0.463,3.34,0.981,0.112,0.718,0.621,1.412,0.024,0.38,0.896,0.0,0.0,0.0,0.0
2.958,0.033,0.692,2.384,6.148,1.014,3.651,2.865,0.687,0.0,0.029,0.376,1.469,0.004,0.189,1.202,0.0,0.0,0.0,0.0
2.818,0.053,0.95,2.377,7.107,1.661,4.296,2.795,0.768,0.006,0.181,0.737,1.522,0.01,0.327,1.421,0.0,0.0,0.0,0.0
1.544,0.297,0.906,0.573,1.355,0.019,0.334,0.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.52,0.582,1.859,1.294,1.096,0.002,0.106,0.635,1.983,0.043,0.705,1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.328,0.0,0.0,0.0,1.614,0.121,0.859,1.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.562,0.0,0.001,0.043,1.674,0.112,1.105,1.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.696,0.0,0.036,0.416,1.674,0.44,1.048,0.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.687,0.0,0.029,0.376,1.671,0.42,1.048,0.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.568,0.021,0.491,1.558,0.43,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.907,0.355,0.906,0.313,0.828,0.043,0.492,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.433,0.41,2.784,2.558,0.744,0.003,0.112,0.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.667,0.0,0.017,0.287,3.115,0.269,1.991,2.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.282,0.642,2.566,1.53,0.715,0.001,0.057,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.615,1.305,3.614,1.355,0.799,0.017,0.32,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.717,0.001,0.061,0.517,3.352,0.23,2.235,2.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.164,0.382,2.241,1.827,0.668,0.0,0.017,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.681,0.0,0.025,0.346,3.2,0.454,2.359,1.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.492,0.0,0.0,0.007,2.46,0.09,1.006,1.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.593,1.148,3.576,1.507,0.804,0.02,0.346,0.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.749,0.001,0.059,0.713,1.661,0.108,1.029,1.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.584,1.091,3.555,1.567,0.8,0.018,0.323,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.636,0.0,0.007,0.179,2.935,0.079,1.18,2.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.702,0.001,0.043,0.447,3.129,0.234,1.892,2.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
