ID,Formula,order,d,TM-atom,CO-atom,Spin-Magmom,TM-IonicRadius,CO-IonicRadius,Sum-IonicRadius,TM-CovalentRadius,CO-CovalentRadius,Sum-CovalentRadius,TM-DipolePolarization,CO-DipolePolarization,Sum-DipolePolarization,TM-Electronegativity,CO-Electronegativity,Sum-Electronegativity,TM-Formationheat,CO-Formationheat,Sum-Formationheat,TM-vdwRadius,CO-vdwRadius,Sum-vdwRadius
1648,Mn2Br2Sb2Se4,0,5,Mn,Sb,5.916079783,66,76,142,119,140,259,68,43,111,1.55,2.05,3.6,283.3,264.4,547.7,205,206,411
1665,V4N3O2,0,3,V,C,3.872983346,79,-8,71,134,75,209,87,11.3,98.3,1.63,2.55,4.18,515.5,716.87,1232.37,207,170,377
1666,Zr4C3,0,2,Zr,C,2.828427125,59,-8,51,154,75,229,112,11.3,123.3,1.33,2.55,3.88,610,716.87,1326.87,223,170,393
1673,Fe2Br2,0,6,Fe,P,4.898979486,63,44,107,116,111,227,62,25,87,1.83,2.19,4.02,415.5,316.5,732,204,180,384
1680,Ni2Cl2,1,8,Ni,Cl,2.828427125,55,181,236,110,99,209,49,14.6,63.6,1.91,3.16,5.07,430.1,121.302,551.402,197,175,372
1702,Ni2O2,0,8,Ni,O,2.828427125,55,135,190,110,63,173,49,5.3,54.3,1.91,3.44,5.35,430.1,249.229,679.329,197,152,349
1731,CoI2,0,7,Co,Si,3.872983346,58,26,84,111,116,227,55,37.3,92.3,1.88,1.9,3.78,426.7,450,876.7,200,210,410
1733,CrCl2,0,5,Cr,Ge,6.92820323,73,73,146,122,121,243,83,40,123,1.66,2.01,3.67,397.48,372,769.48,206,211,417
1734,CrSb2,0,5,Cr,Sb,6.92820323,73,76,149,122,140,262,83,43,126,1.66,2.05,3.71,397.48,264.4,661.88,206,206,412
1737,FeCl2,0,6,Fe,Sb,4.898979486,63,76,139,116,140,256,62,43,105,1.83,2.05,3.88,415.5,264.4,679.9,204,206,410
1738,FeS2,0,6,Fe,H,4.898979486,63,-38,25,116,32,148,62,4.50711,66.50711,1.83,2.2,4.03,415.5,217.998,633.498,204,110,314
1750,MnI2,0,5,Mn,C,5.916079783,66,-8,58,119,75,194,68,11.3,79.3,1.55,2.55,4.1,283.3,716.87,1000.17,205,170,375
1751,MnTe2,0,5,Mn,H,5.916079783,66,-38,28,119,32,151,68,4.50711,72.50711,1.55,2.2,3.75,283.3,217.998,501.298,205,110,315
1754,Mn2N,1,5,Mn,N,5.916079783,66,146,212,119,71,190,68,7.4,75.4,1.55,3.04,4.59,283.3,472.44,755.74,205,155,360
1758,NiO2,1,8,Ni,S,2.828427125,55,184,239,110,103,213,49,19.4,68.4,1.91,2.58,4.49,430.1,277.17,707.27,197,180,377
1759,OsBr2,1,6,Os,Br,4.898979486,63,196,259,129,114,243,57,21,78,2.2,2.96,5.16,787,111.85,898.85,216,185,401
1763,PdCl2,1,10,Pd,Cl,0,59,181,240,120,99,219,26.14,14.6,40.74,2.2,3.16,5.36,376.6,121.302,497.902,210,175,385
1794,Cr2BO2,1,5,Cr,O,6.92820323,73,135,208,122,63,185,83,5.3,88.3,1.66,3.44,5.1,397.48,249.229,646.709,206,152,358
1802,NiH2O2,0,8,Ni,H,2.828427125,55,-38,17,110,32,142,49,4.50711,53.50711,1.91,2.2,4.11,430.1,217.998,648.098,197,110,307
1806,Mn2CH2O2,1,5,Mn,S,5.916079783,66,184,250,119,103,222,68,19.4,87.4,1.55,2.58,4.13,283.3,277.17,560.47,205,180,385
1810,AlNi5Cl2,1,8,Ni,Cl,2.828427125,55,181,236,110,99,209,49,14.6,63.6,1.91,3.16,5.07,430.1,121.302,551.402,197,175,372
1811,InNi5Br2,1,8,Ni,Br,2.828427125,55,196,251,110,114,224,49,21,70,1.91,2.96,4.87,430.1,111.85,541.95,197,185,382
1812,Cu2ReCl6,1,10,Cu,Cl,1.732050808,46,181,227,112,99,211,46.5,14.6,61.1,1.9,3.16,5.06,337.4,121.302,458.702,196,175,371
1815,Co2I6,1,7,Co,I,3.872983346,58,220,278,111,133,244,55,32.9,87.9,1.88,2.66,4.54,426.7,106.757,533.457,200,198,398
1816,Fe2Br6,1,6,Fe,Br,4.898979486,63,196,259,116,114,230,62,21,83,1.83,2.96,4.79,415.5,111.85,527.35,204,185,389
1817,Hf2Cl6,1,2,Hf,Cl,2.828427125,58,181,239,152,99,251,103,14.6,117.6,1.3,3.16,4.46,618.4,121.302,739.702,223,175,398
1821,Os2Cl6,0,6,Os,H,4.898979486,63,-38,25,129,32,161,57,4.50711,61.50711,2.2,2.2,4.4,787,217.998,1004.998,216,110,326
1822,Pd2Cl6,1,10,Pd,Cl,0,59,181,240,120,99,219,26.14,14.6,40.74,2.2,3.16,5.36,376.6,121.302,497.902,210,175,385
1824,Ru2I6,1,7,Ru,I,4.898979486,68,220,288,125,133,258,72,32.9,104.9,2.2,2.66,4.86,650.6,106.757,757.357,213,198,411
1826,Ti2Cl6,1,2,Ti,Cl,2.828427125,86,181,267,136,99,235,100,14.6,114.6,1.54,3.16,4.7,473,121.302,594.302,211,175,386
1827,V2Cl6,1,3,V,Cl,3.872983346,79,181,260,134,99,233,87,14.6,101.6,1.63,3.16,4.79,515.5,121.302,636.802,207,175,382
1841,CrBrCl,1,5,Cr,Br,6.92820323,73,196,269,122,114,236,83,21,104,1.66,2.96,4.62,397.48,111.85,509.33,206,185,391
1861,Cr2I2N2,1,5,Cr,I,6.92820323,73,220,293,122,133,255,83,32.9,115.9,1.66,2.66,4.32,397.48,106.757,504.237,206,198,404
1864,Hf4I4Se4,1,2,Hf,I,2.828427125,58,220,278,152,133,285,103,32.9,135.9,1.3,2.66,3.96,618.4,106.757,725.157,223,198,421
1876,Fe2H2O4,0,6,Fe,H,4.898979486,63,-38,25,116,32,148,62,4.50711,66.50711,1.83,2.2,4.03,415.5,217.998,633.498,204,110,314
